"","NW sub-segment","CW sub-segment"
"8.5 ug/L","13.0 / 15.3 / 17.0","15.9 / 18.6 / 21.0"
"9.3 ug/L","6.6 / 15.7 / 22.1","18.2 / 20.6 / 22.7"
