"","NW sub-segment","CW sub-segment"
"8.5 ug/L","11.3 / 13.6 / 15.7","13.8 / 16.5 / 19.3"
"9.3 ug/L","0.0 / 9.2 / 15.3","16.5 / 18.9 / 21.4"
