"var1","rho","pval","sig"
"ccm.chl.ne.nw.pval.d7",0.892,1,""
"ccm.chl.nw.ce.pval.d0",0.991,0.002,"**"
"ccm.chl.nw.ce.pval.d1",0.986,0.002,"**"
"ccm.chl.nw.ce.pval.d2",0.983,0.002,"**"
"ccm.chl.nw.ce.pval.d3",0.988,0.002,"**"
"ccm.chl.nw.ce.pval.d4",0.989,0.002,"**"
"ccm.chl.nw.ce.pval.d5",0.985,0.002,"**"
"ccm.chl.nw.ce.pval.d6",0.984,0.002,"**"
"ccm.chl.nw.ce.pval.d7",0.99,0.002,"**"
"ccm.chl.nw.cw.pval.d0",0.992,0.002,"**"
"ccm.chl.nw.cw.pval.d1",0.977,0.002,"**"
"ccm.chl.nw.cw.pval.d2",0.977,0.002,"**"
"ccm.chl.nw.cw.pval.d3",0.992,0.002,"**"
"ccm.chl.nw.cw.pval.d4",0.998,0.002,"**"
"ccm.chl.nw.cw.pval.d5",0.996,0.002,"**"
"ccm.chl.nw.cw.pval.d6",0.995,0.002,"**"
"ccm.chl.nw.cw.pval.d7",0.996,0.002,"**"
"ccm.chl.nw.ne.pval.d0",0.961,0.002,"**"
"ccm.chl.nw.ne.pval.d1",0.952,0.002,"**"
"ccm.chl.nw.ne.pval.d2",0.956,0.002,"**"
"ccm.chl.nw.ne.pval.d3",0.965,0.002,"**"
"ccm.chl.nw.ne.pval.d4",0.968,0.002,"**"
"ccm.chl.nw.ne.pval.d5",0.966,0.002,"**"
"ccm.chl.nw.ne.pval.d6",0.963,0.002,"**"
"ccm.chl.nw.ne.pval.d7",0.963,0.002,"**"
"ccm.chl.se.ce.pval.d0",0.856,0.435,""
"ccm.chl.se.ce.pval.d1",0.85,0.82,""
"ccm.chl.se.ce.pval.d2",0.845,0.972,""
"ccm.chl.se.ce.pval.d3",0.844,0.747,""
"ccm.chl.se.ce.pval.d4",0.843,0.263,""
"ccm.chl.se.ce.pval.d5",0.843,0.267,""
"ccm.chl.se.ce.pval.d6",0.846,0.609,""
"ccm.chl.se.ce.pval.d7",0.847,0.838,""
"ccm.chl.se.cw.pval.d0",0.994,0.002,"**"
"ccm.chl.se.cw.pval.d1",0.992,0.002,"**"
"ccm.chl.se.cw.pval.d2",0.984,0.002,"**"
"ccm.chl.se.cw.pval.d3",0.985,0.002,"**"
"ccm.chl.se.cw.pval.d4",0.991,0.002,"**"
"ccm.chl.se.cw.pval.d5",0.993,0.002,"**"
"ccm.chl.se.cw.pval.d6",0.992,0.002,"**"
"ccm.chl.se.cw.pval.d7",0.993,0.002,"**"
"ccm.chl.se.sw.pval.d0",0.928,0.002,"**"
"ccm.chl.se.sw.pval.d1",0.924,0.002,"**"
"ccm.chl.se.sw.pval.d2",0.924,0.002,"**"
"ccm.chl.se.sw.pval.d3",0.924,0.002,"**"
"ccm.chl.se.sw.pval.d4",0.923,0.002,"**"
"ccm.chl.se.sw.pval.d5",0.923,0.002,"**"
"ccm.chl.se.sw.pval.d6",0.923,0.002,"**"
"ccm.chl.se.sw.pval.d7",0.918,0.002,"**"
"ccm.chl.sw.ce.pval.d0",0.953,0.002,"**"
"ccm.chl.sw.ce.pval.d1",0.973,0.002,"**"
"ccm.chl.sw.ce.pval.d2",0.942,0.002,"**"
"ccm.chl.sw.ce.pval.d3",0.928,0.002,"**"
"ccm.chl.sw.ce.pval.d4",0.956,0.002,"**"
"ccm.chl.sw.ce.pval.d5",0.971,0.002,"**"
"ccm.chl.sw.ce.pval.d6",0.954,0.002,"**"
"ccm.chl.sw.ce.pval.d7",0.947,0.002,"**"
"ccm.chl.sw.cw.pval.d0",0.94,0.337,""
"ccm.chl.sw.cw.pval.d1",0.978,0.002,"**"
"ccm.chl.sw.cw.pval.d2",0.947,0.002,"**"
"ccm.chl.sw.cw.pval.d3",0.916,0.118,""
"ccm.chl.sw.cw.pval.d4",0.955,0.022,"*"
"ccm.chl.sw.cw.pval.d5",0.988,0.002,"**"
"ccm.chl.sw.cw.pval.d6",0.955,0.002,"**"
"ccm.chl.sw.cw.pval.d7",0.916,0.118,""
"ccm.chl.sw.se.pval.d0",0.956,0.002,"**"
"ccm.chl.sw.se.pval.d1",0.926,0.002,"**"
"ccm.chl.sw.se.pval.d2",0.901,0.002,"**"
"ccm.chl.sw.se.pval.d3",0.932,0.002,"**"
"ccm.chl.sw.se.pval.d4",0.958,0.002,"**"
"ccm.chl.sw.se.pval.d5",0.935,0.002,"**"
"ccm.chl.sw.se.pval.d6",0.897,0.002,"**"
"ccm.chl.sw.se.pval.d7",0.908,0.002,"**"
