"var1","rho","pval","sig"
"ccm.ce.chl.TN.pval.d0",0.93,0.002,"**"
"ccm.ce.chl.TN.pval.d1",0.93,0.002,"**"
"ccm.ce.chl.TN.pval.d2",0.924,0.002,"**"
"ccm.ce.chl.TN.pval.d3",0.922,0.002,"**"
"ccm.ce.chl.TN.pval.d4",0.939,0.002,"**"
"ccm.ce.chl.TN.pval.d5",0.945,0.002,"**"
"ccm.ce.chl.TN.pval.d6",0.923,0.002,"**"
"ccm.ce.chl.TN.pval.d7",0.918,0.002,"**"
"ccm.cw.chl.TN.pval.d0",0.978,0.002,"**"
"ccm.cw.chl.TN.pval.d1",0.981,0.002,"**"
"ccm.cw.chl.TN.pval.d2",0.976,0.002,"**"
"ccm.cw.chl.TN.pval.d3",0.97,0.002,"**"
"ccm.cw.chl.TN.pval.d4",0.975,0.002,"**"
"ccm.cw.chl.TN.pval.d5",0.979,0.002,"**"
"ccm.cw.chl.TN.pval.d6",0.977,0.002,"**"
"ccm.cw.chl.TN.pval.d7",0.979,0.002,"**"
"ccm.ne.chl.TN.pval.d0",0.93,0.248,""
"ccm.ne.chl.TN.pval.d1",0.926,0.002,"**"
"ccm.ne.chl.TN.pval.d2",0.931,0.006,"**"
"ccm.ne.chl.TN.pval.d3",0.919,0.936,""
"ccm.ne.chl.TN.pval.d4",0.932,0.158,""
"ccm.ne.chl.TN.pval.d5",0.931,0.002,"**"
"ccm.ne.chl.TN.pval.d6",0.923,0.004,"**"
"ccm.ne.chl.TN.pval.d7",0.917,0.932,""
"ccm.nw.chl.TN.pval.d0",0.924,0.04,"*"
"ccm.nw.chl.TN.pval.d1",0.918,0.002,"**"
"ccm.nw.chl.TN.pval.d2",0.954,0.002,"**"
"ccm.nw.chl.TN.pval.d3",0.952,0.002,"**"
"ccm.nw.chl.TN.pval.d4",0.947,0.002,"**"
"ccm.nw.chl.TN.pval.d5",0.951,0.002,"**"
"ccm.nw.chl.TN.pval.d6",0.954,0.002,"**"
"ccm.nw.chl.TN.pval.d7",0.952,0.002,"**"
"ccm.otb.chl.TN.pval.d0",0.92,0.042,"*"
"ccm.otb.chl.TN.pval.d1",0.891,0.01,"**"
"ccm.otb.chl.TN.pval.d2",0.879,0.012,"*"
"ccm.otb.chl.TN.pval.d3",0.852,0.988,""
"ccm.otb.chl.TN.pval.d4",0.904,0.24,""
"ccm.otb.chl.TN.pval.d5",0.924,0.002,"**"
"ccm.otb.chl.TN.pval.d6",0.901,0.002,"**"
"ccm.otb.chl.TN.pval.d7",0.886,0.705,""
"ccm.se.chl.TN.pval.d0",0.976,0.002,"**"
"ccm.se.chl.TN.pval.d1",0.975,0.002,"**"
"ccm.se.chl.TN.pval.d2",0.968,0.002,"**"
"ccm.se.chl.TN.pval.d3",0.974,0.002,"**"
"ccm.se.chl.TN.pval.d4",0.974,0.002,"**"
"ccm.se.chl.TN.pval.d5",0.978,0.002,"**"
"ccm.se.chl.TN.pval.d6",0.976,0.002,"**"
"ccm.se.chl.TN.pval.d7",0.971,0.002,"**"
"ccm.sw.chl.TN.pval.d0",0.899,0.774,""
"ccm.sw.chl.TN.pval.d1",0.938,0.002,"**"
"ccm.sw.chl.TN.pval.d2",0.911,0.002,"**"
"ccm.sw.chl.TN.pval.d3",0.9,0.004,"**"
"ccm.sw.chl.TN.pval.d4",0.915,0.289,""
"ccm.sw.chl.TN.pval.d5",0.948,0.002,"**"
"ccm.sw.chl.TN.pval.d6",0.919,0.002,"**"
"ccm.sw.chl.TN.pval.d7",0.867,0.044,"*"
