BAY_SEG,MAJOR_BASIN,BASIN,YEAR,MONTH,SOURCE,h2oload (m3/month),tnload (kg/month),tpload (kg/month),BODLOAD (kg/month),tssload (kg/month)
1,Coastal OTB,LTARPON,1996,6,NPS,1522025.306,1514.141477,373.0440088,7209.647039,32970.90449
1,Coastal OTB,LTARPON,1996,7,NPS,1906968.875,1809.641892,478.4281511,9494.275798,44281.93046
1,Coastal OTB,LTARPON,1996,8,NPS,3150928.531,3182.435447,790.5178375,15687.61026,73168.05214
1,Coastal OTB,LTARPON,1996,9,NPS,1969099.135,2120.898519,494.0156448,9803.605347,45724.66394
1,Coastal OTB,LTARPON,1996,10,NPS,1667388.551,1612.168117,418.3212594,8301.470972,38718.60984
1,Coastal OTB,LTARPON,1996,11,NPS,1137134.502,938.5058241,278.7083837,5386.466545,24633.19952
1,Coastal OTB,LTARPON,1996,12,NPS,1151756.244,990.3481999,282.2921306,5455.727945,24949.94332
1,Coastal OTB,LTARPON,1997,1,NPS,998694.1201,840.6183579,244.7770458,4730.691452,21634.23191
1,Coastal OTB,LTARPON,1997,2,NPS,763798.9106,752.9637623,187.2049081,3618.021679,16545.80961
1,Coastal OTB,LTARPON,1997,3,NPS,763680.639,701.8826481,187.17592,3617.461441,16543.24754
1,Coastal OTB,LTARPON,1997,4,NPS,1554210.299,1421.493373,380.9324577,7362.1034,33668.11256
1,Coastal OTB,LTARPON,1997,5,NPS,1405825.378,1334.419094,344.5637417,6659.222241,30453.72115
1,Coastal OTB,LTARPON,1997,6,NPS,2416041.91,2245.892149,592.1648974,11444.49394,52337.55754
1,Coastal OTB,LTARPON,1997,7,NPS,1547871.96,1594.210779,388.3364482,7706.430596,35943.30215
1,Coastal OTB,LTARPON,1997,8,NPS,2670865.207,2660.001878,670.0775872,13297.50644,62020.44978
1,Coastal OTB,LTARPON,1997,9,NPS,5398558.921,4919.64447,1354.412543,26877.94645,125360.5205
1,Coastal OTB,LTARPON,1997,10,NPS,2765390.389,2666.195628,693.7924516,13768.12143,64215.42926
1,Coastal OTB,LTARPON,1997,11,NPS,6080672.902,4938.949621,1490.355375,28803.4011,131722.7018
1,Coastal OTB,LTARPON,1997,12,NPS,18441265.67,15264.25139,4519.90098,87354.01172,399484.2968
1,Coastal OTB,LTARPON,1998,1,NPS,13523853.54,11830.14335,3314.657463,64060.83411,292960.7555
1,Coastal OTB,LTARPON,1998,2,NPS,14361944.82,12370.65263,3520.071216,68030.76962,311115.925
1,Coastal OTB,LTARPON,1998,3,NPS,7455512.11,6712.599919,1827.324495,35315.84566,161505.1844
1,Coastal OTB,LTARPON,1998,4,NPS,2842839.726,3144.924945,696.7718102,13466.18281,61583.07402
1,Coastal OTB,LTARPON,1998,5,NPS,1013555.686,1252.3351,248.4195728,4801.088866,21956.17089
1,Coastal OTB,LTARPON,1998,6,NPS,683766.6656,812.9104397,167.5892358,3238.918759,14812.10945
1,Coastal OTB,LTARPON,1998,7,NPS,3466830.842,3438.312126,869.7727012,17260.40135,80503.65385
1,Coastal OTB,LTARPON,1998,8,NPS,2498673.159,2660.734497,626.8773418,12440.20938,58021.95961
1,Coastal OTB,LTARPON,1998,9,NPS,7000962.423,6484.370398,1756.430087,34855.87466,162570.1055
1,Coastal OTB,LTARPON,1998,10,NPS,1586620.669,1842.747533,398.057883,7899.34981,36843.09013
1,Coastal OTB,LTARPON,1998,11,NPS,1680487.376,1346.444748,411.8826048,7960.262413,36403.59234
1,Coastal OTB,LTARPON,1998,12,NPS,692513.0723,672.3692929,169.7329549,3280.349414,15001.57867
1,Coastal OTB,LTARPON,1999,1,NPS,1102516.415,957.3627947,274.1166078,5428.928915,25044.43567
1,Coastal OTB,LTARPON,1999,2,NPS,973016.9975,1139.690164,241.9194083,4791.257565,22102.76535
1,Coastal OTB,LTARPON,1999,3,NPS,989597.1325,1043.641321,246.0416965,4872.900227,22479.39477
1,Coastal OTB,LTARPON,1999,4,NPS,832556.9122,1056.180715,206.9970783,4099.614513,18912.11573
1,Coastal OTB,LTARPON,1999,5,NPS,980288.4545,1166.825995,243.7272972,4827.063131,22267.94161
