year,month,bay_segment,source,tn_load,tp_load,tss_load,bod_load
1995,1,Hillsborough Bay,AD,3.071333658,4.259673281,0,0
1995,1,Hillsborough Bay,DPS,19.31924738,23.65336649,11.76937412,15.54898932
1995,1,Hillsborough Bay,GWS,19.95960892,0.717093169,0.072962341,0
1995,1,Hillsborough Bay,IPS,10.78809779,26.27958269,42.15210223,121.929894
1995,1,Hillsborough Bay,NPS,71.09972905,36.75045674,1530.137801,20.83082422
1995,2,Hillsborough Bay,AD,3.409997444,2.575327272,0,0
1995,2,Hillsborough Bay,DPS,18.26244705,24.27461533,12.69554638,16.16067954
1995,2,Hillsborough Bay,GWS,18.64013826,0.696188229,0.068125512,0
1995,2,Hillsborough Bay,IPS,10.8227093,28.04662561,44.52041945,130.7929609
1995,2,Hillsborough Bay,NPS,56.19006021,33.4494585,1214.409079,16.66075537
1995,3,Hillsborough Bay,AD,3.30018901,2.212987816,0,0
1995,3,Hillsborough Bay,DPS,20.39866771,23.98052015,12.66863494,14.76021462
1995,3,Hillsborough Bay,GWS,17.59120213,0.678234574,0.064272444,0
1995,3,Hillsborough Bay,IPS,11.04779496,25.31495103,41.01908744,114.441547
1995,3,Hillsborough Bay,NPS,31.45435448,12.21507343,819.7207377,24.52637367
1995,4,Hillsborough Bay,AD,4.342645622,2.76737221,0,0
1995,4,Hillsborough Bay,DPS,19.98254519,23.45760069,14.29357518,8.658549027
1995,4,Hillsborough Bay,GWS,16.33157699,0.648967657,0.059599575,0
1995,4,Hillsborough Bay,IPS,10.00875481,23.76103995,38.75071754,107.6801478
1995,4,Hillsborough Bay,NPS,39.70968151,13.27870529,921.9906474,44.32119906
1995,5,Hillsborough Bay,AD,23.15948576,2.185174299,0,0
1995,5,Hillsborough Bay,DPS,19.38528084,24.76676793,17.13314135,8.517877033
1995,5,Hillsborough Bay,GWS,15.67901493,0.634211229,0.057181161,0
1995,5,Hillsborough Bay,IPS,9.961973575,19.67325623,34.93154906,82.08913049
1995,5,Hillsborough Bay,NPS,23.90380452,4.686920803,489.2748895,7.411420352
1995,6,Hillsborough Bay,AD,12.98071208,13.27340774,0,0
1995,6,Hillsborough Bay,DPS,22.77161898,28.1948614,19.5420503,16.89488768
1995,6,Hillsborough Bay,GWS,14.5928049,0.97645249,0.052877202,0
1995,6,Hillsborough Bay,IPS,10.41727257,25.21592408,43.0015977,111.7545851
1995,6,Hillsborough Bay,NPS,67.28034467,205.645679,1555.62695,121.1927347
1995,7,Hillsborough Bay,AD,11.2668184,9.353042098,0,0
1995,7,Hillsborough Bay,DPS,24.2058729,26.47512853,20.25916819,10.41248551
1995,7,Hillsborough Bay,GWS,14.58813203,0.984765278,0.052909994,0
1995,7,Hillsborough Bay,IPS,9.456606605,16.94826365,26.58693837,73.38271899
1995,7,Hillsborough Bay,NPS,151.1381186,76.62368666,3130.319683,380.1626676
1995,8,Hillsborough Bay,AD,30.05840706,12.73938139,0,0
1995,8,Hillsborough Bay,DPS,31.43308441,27.94688454,25.77606071,13.5110652
1995,8,Hillsborough Bay,GWS,14.38055827,0.990864602,0.052204965,0
1995,8,Hillsborough Bay,IPS,15.54371457,27.15564422,62.77025926,110.8989971
1995,8,Hillsborough Bay,NPS,432.1894067,459.5215254,7157.9779,819.5082775
1995,9,Hillsborough Bay,AD,3.401250255,3.997852922,0,0
1995,9,Hillsborough Bay,DPS,23.20792422,23.6029346,14.11696287,11.75207584
1995,9,Hillsborough Bay,GWS,15.75110257,1.014179759,0.057238547,0
1995,9,Hillsborough Bay,IPS,24.44627066,70.26586995,88.33177999,233.2610828
1995,9,Hillsborough Bay,NPS,238.6192901,99.9696277,4302.944644,180.5718688
1995,10,Hillsborough Bay,AD,4.524518247,5.612474925,0,0
1995,10,Hillsborough Bay,DPS,24.78037926,25.46588146,14.07561973,11.30403345
1995,10,Hillsborough Bay,GWS,18.18654204,0.68738356,0.066453117,0
1995,10,Hillsborough Bay,IPS,19.82152233,24.52505847,76.4174371,166.9594134
1995,10,Hillsborough Bay,NPS,230.5365409,107.3421045,4137.108998,169.9872411
1995,11,Hillsborough Bay,AD,1.974581454,2.393060183,0,0
1995,11,Hillsborough Bay,DPS,19.16319427,22.1715477,9.394490539,8.775474862
1995,11,Hillsborough Bay,GWS,19.91779903,0.714633765,0.072798381,0
1995,11,Hillsborough Bay,IPS,13.94936074,16.95799902,37.16859953,110.8984559
1995,11,Hillsborough Bay,NPS,70.21439359,33.54667078,1537.051257,91.38389846
1995,12,Hillsborough Bay,AD,0.800967023,1.404573466,0,0
1995,12,Hillsborough Bay,DPS,20.15841356,22.37722737,11.44035446,15.19073295
1995,12,Hillsborough Bay,GWS,19.34598743,0.706517729,0.070707887,0
1995,12,Hillsborough Bay,IPS,10.68139606,15.99243668,18.8346406,54.23617559
1995,12,Hillsborough Bay,NPS,27.6237469,14.4472819,812.8969423,91.80241042
1995,1,Lower Tampa Bay,AD,7.663874075,10.62912834,0,0
1995,1,Lower Tampa Bay,DPS,0.008903803,0.013196708,0.009539789,0.027029402
1995,1,Lower Tampa Bay,GWS,0.001102293,0.004409171,0,0
1995,1,Lower Tampa Bay,IPS,0.02307712,0.072308311,0,0
1995,1,Lower Tampa Bay,NPS,1.381018045,0.493476062,22.90292981,6.535718027
1995,2,Lower Tampa Bay,AD,8.700432019,6.570814267,0,0
1995,2,Lower Tampa Bay,DPS,0.005847164,0.013480961,0.016242122,0.034108455
1995,2,Lower Tampa Bay,GWS,0.001102293,0.004409171,0,0
1995,2,Lower Tampa Bay,IPS,0.02307712,0.072308311,0,0
1995,2,Lower Tampa Bay,NPS,1.729444051,0.559996548,25.9902407,7.416731661
1995,3,Lower Tampa Bay,AD,7.185440201,4.818297246,0,0
1995,3,Lower Tampa Bay,DPS,0.013431556,0.012117599,0.023359228,0.043798552
1995,3,Lower Tampa Bay,GWS,0.001102293,0.004409171,0,0
1995,3,Lower Tampa Bay,IPS,0.02307712,0.072308311,0,0
1995,3,Lower Tampa Bay,NPS,1.448340669,0.45708636,21.21403168,6.053763882
1995,4,Lower Tampa Bay,AD,12.05771989,7.683841107,0,0
1995,4,Lower Tampa Bay,DPS,0.008473682,0.0113438,0.027334457,0.039634963
1995,4,Lower Tampa Bay,GWS,0.001102293,0.004409171,0,0
1995,4,Lower Tampa Bay,IPS,0.02307712,0.072308311,0,0
1995,4,Lower Tampa Bay,NPS,1.389686513,0.433452272,20.11713987,5.740748228
1995,5,Lower Tampa Bay,AD,46.0484991,4.344828627,0,0
1995,5,Lower Tampa Bay,DPS,0.003590137,0.009311917,0.006731506,0.028047943
1995,5,Lower Tampa Bay,GWS,0.001102293,0.004409171,0,0
1995,5,Lower Tampa Bay,IPS,0.02307712,0.072308311,0,0
1995,5,Lower Tampa Bay,NPS,2.961521078,0.392547218,18.21867781,5.198991655
1995,6,Lower Tampa Bay,AD,33.90480574,34.66930844,0,0
1995,6,Lower Tampa Bay,DPS,0.044780056,0.012307101,0.0088967,0.031138449
1995,6,Lower Tampa Bay,GWS,0.018738977,0.109126984,0,0
1995,6,Lower Tampa Bay,IPS,0.02307712,0.072308311,0,0
1995,6,Lower Tampa Bay,NPS,4.96535496,1.699302898,78.86707778,22.50598444
1995,7,Lower Tampa Bay,AD,25.196708,20.9168074,0,0
1995,7,Lower Tampa Bay,DPS,0.143845455,0.011728068,0.009891141,0.033912484
1995,7,Lower Tampa Bay,GWS,0.018738977,0.109126984,0,0
1995,7,Lower Tampa Bay,IPS,0.02307712,0.072308311,0,0
1995,7,Lower Tampa Bay,NPS,6.705776137,2.134765281,97.8141557,27.9099587
1995,8,Lower Tampa Bay,AD,75.49854205,31.99786068,0,0
1995,8,Lower Tampa Bay,DPS,0.140573311,0.013923132,0.006709943,0.035227202
1995,8,Lower Tampa Bay,GWS,0.018738977,0.109126984,0,0
1995,8,Lower Tampa Bay,IPS,0.02307712,0.072308311,0,0
1995,8,Lower Tampa Bay,NPS,30.37474447,8.321469957,381.2866759,108.7950441
