"yr","date","Latitude","Longitude","pyro","doy","pyrocat"
2012,2012-03-09,27.98,-82.62,NA,69,NA
2012,2012-03-09,27.942,-82.577,NA,69,NA
2012,2012-03-09,27.957,-82.622,1000,69,"No bloom"
2012,2012-03-09,27.942,-82.675,667,69,"No bloom"
2012,2012-03-09,27.9055,-82.6046,NA,69,NA
2012,2012-03-09,27.9244,-82.5496,NA,69,NA
2012,2012-03-09,27.8454,-82.5714,NA,69,NA
2012,2012-03-09,27.7723,-82.5789,NA,69,NA
2012,2012-03-22,28.02,-82.675,NA,82,NA
2012,2012-03-22,27.972,-82.673,NA,82,NA
2012,2012-03-22,27.98,-82.62,NA,82,NA
2012,2012-03-26,27.942,-82.577,NA,86,NA
2012,2012-03-26,27.957,-82.622,1000,86,"No bloom"
2012,2012-03-26,27.942,-82.675,333,86,"No bloom"
2012,2012-03-26,27.9055,-82.6046,NA,86,NA
2012,2012-03-26,27.9244,-82.5496,NA,86,NA
2012,2012-03-26,27.86111,-82.58911,333,86,"No bloom"
2012,2012-03-26,27.7723,-82.5789,NA,86,NA
2012,2012-04-03,28.02,-82.675,NA,94,NA
2012,2012-04-03,27.972,-82.673,NA,94,NA
2012,2012-04-03,27.98,-82.62,NA,94,NA
2012,2012-04-03,27.942,-82.577,NA,94,NA
2012,2012-04-03,27.957,-82.622,333,94,"No bloom"
2012,2012-04-03,27.942,-82.675,NA,94,NA
2012,2012-04-03,27.9055,-82.6046,2333,94,"No bloom"
2012,2012-04-03,27.9244,-82.5496,NA,94,NA
2012,2012-04-03,27.86111,-82.58911,NA,94,NA
2012,2012-04-03,27.7723,-82.5789,NA,94,NA
2012,2012-04-19,28.02,-82.675,65000,110,"Low"
2012,2012-04-19,27.972,-82.673,14600,110,"Low"
2012,2012-04-19,27.98,-82.62,333,110,"No bloom"
2012,2012-04-19,27.942,-82.577,NA,110,NA
2012,2012-04-19,27.957,-82.622,1667,110,"No bloom"
2012,2012-04-19,27.942,-82.675,NA,110,NA
2012,2012-04-19,27.9055,-82.6046,4000,110,"No bloom"
2012,2012-04-19,27.9244,-82.5496,333,110,"No bloom"
2012,2012-04-19,27.86111,-82.58911,667,110,"No bloom"
2012,2012-04-19,27.7723,-82.5789,NA,110,NA
2012,2012-05-04,28.02,-82.675,14667,125,"Low"
2012,2012-05-04,27.972,-82.673,7000,125,"No bloom"
2012,2012-05-04,27.98,-82.62,667,125,"No bloom"
2012,2012-05-04,27.942,-82.577,333,125,"No bloom"
2012,2012-05-04,27.957,-82.622,2333,125,"No bloom"
2012,2012-05-04,27.942,-82.675,3000,125,"No bloom"
2012,2012-05-04,27.9055,-82.6046,NA,125,NA
2012,2012-05-04,27.9244,-82.5496,NA,125,NA
2012,2012-05-04,27.86111,-82.58911,NA,125,NA
2012,2012-05-04,27.7723,-82.5789,NA,125,NA
2012,2012-05-15,28.02,-82.675,8667,136,"No bloom"
2012,2012-05-15,27.972,-82.673,NA,136,NA
2012,2012-05-15,27.98,-82.62,NA,136,NA
2012,2012-05-15,27.942,-82.577,NA,136,NA
2012,2012-05-15,27.957,-82.622,333,136,"No bloom"
2012,2012-05-15,27.942,-82.675,NA,136,NA
2012,2012-05-15,27.9055,-82.6046,NA,136,NA
2012,2012-05-15,27.9244,-82.5496,NA,136,NA
2012,2012-05-15,27.86111,-82.58911,NA,136,NA
2012,2012-05-15,27.7723,-82.5789,NA,136,NA
2012,2012-05-31,28.02,-82.675,NA,152,NA
2012,2012-05-31,27.972,-82.673,NA,152,NA
2012,2012-05-31,27.98,-82.62,NA,152,NA
2012,2012-05-31,27.942,-82.577,NA,152,NA
2012,2012-05-31,27.957,-82.622,NA,152,NA
2012,2012-05-31,27.942,-82.675,NA,152,NA
2012,2012-05-31,27.9055,-82.6046,NA,152,NA
2012,2012-05-31,27.9244,-82.5496,NA,152,NA
2012,2012-05-31,27.86111,-82.58911,NA,152,NA
2012,2012-05-31,27.7723,-82.5789,NA,152,NA
2012,2012-06-13,28.02,-82.675,2667,165,"No bloom"
2012,2012-06-13,27.972,-82.673,NA,165,NA
2012,2012-06-13,27.98,-82.62,NA,165,NA
2012,2012-06-13,27.942,-82.577,NA,165,NA
2012,2012-06-13,27.957,-82.622,NA,165,NA
2012,2012-06-13,27.942,-82.675,NA,165,NA
2012,2012-06-13,27.9055,-82.6046,NA,165,NA
2012,2012-06-13,27.9244,-82.5496,NA,165,NA
2012,2012-06-13,27.86111,-82.58911,NA,165,NA
2012,2012-06-13,27.7723,-82.5789,NA,165,NA
2012,2012-06-28,28.02,-82.675,333,180,"No bloom"
2012,2012-06-28,27.972,-82.673,2333,180,"No bloom"
2012,2012-06-28,27.98,-82.62,1000,180,"No bloom"
2012,2012-06-28,27.942,-82.577,1000,180,"No bloom"
2012,2012-06-28,27.957,-82.622,333,180,"No bloom"
2012,2012-06-28,27.942,-82.675,667,180,"No bloom"
2012,2012-06-28,27.9055,-82.6046,333,180,"No bloom"
2012,2012-06-28,27.9244,-82.5496,NA,180,NA
2012,2012-06-28,27.86111,-82.58911,NA,180,NA
2012,2012-06-28,27.7723,-82.5789,NA,180,NA
2012,2012-07-11,28.02,-82.675,2000,193,"No bloom"
2012,2012-07-11,27.972,-82.673,NA,193,NA
2012,2012-07-11,27.98,-82.62,NA,193,NA
2012,2012-07-11,27.942,-82.577,NA,193,NA
2012,2012-07-11,27.957,-82.622,NA,193,NA
2012,2012-07-11,27.942,-82.675,NA,193,NA
2012,2012-07-11,27.9055,-82.6046,333,193,"No bloom"
2012,2012-07-11,27.9244,-82.5496,NA,193,NA
2012,2012-07-11,27.86111,-82.58911,333,193,"No bloom"
2012,2012-07-11,27.7723,-82.5789,NA,193,NA
2012,2012-07-26,28.02,-82.675,333,208,"No bloom"
2012,2012-07-26,27.972,-82.673,NA,208,NA
2012,2012-07-26,27.98,-82.62,NA,208,NA
2012,2012-07-26,27.942,-82.577,NA,208,NA
2012,2012-07-26,27.957,-82.622,NA,208,NA
