year,month,bay_segment,hy_load_106_m3_mo
2013,11,All Segments (- N. BCB),105.438944
2013,12,All Segments (- N. BCB),72.21770956
2014,1,All Segments (- N. BCB),141.9123161
2014,2,All Segments (- N. BCB),125.6325856
2014,3,All Segments (- N. BCB),256.4498388
2014,4,All Segments (- N. BCB),114.179395
2014,5,All Segments (- N. BCB),264.3762627
2014,6,All Segments (- N. BCB),246.8075572
2014,7,All Segments (- N. BCB),505.4679749
2014,8,All Segments (- N. BCB),349.5283458
2014,9,All Segments (- N. BCB),836.5486252
2014,10,All Segments (- N. BCB),343.4815783
2014,11,All Segments (- N. BCB),271.6169025
2014,12,All Segments (- N. BCB),148.4500323
2015,1,All Segments (- N. BCB),134.4396379
2015,2,All Segments (- N. BCB),300.7116188
2015,3,All Segments (- N. BCB),150.7307236
2015,4,All Segments (- N. BCB),146.550872
2015,5,All Segments (- N. BCB),190.2671052
2015,6,All Segments (- N. BCB),228.6987195
2015,7,All Segments (- N. BCB),687.1594781
2015,8,All Segments (- N. BCB),1047.070132
2015,9,All Segments (- N. BCB),531.8842719
2015,10,All Segments (- N. BCB),237.2040499
2015,11,All Segments (- N. BCB),133.0993001
2015,12,All Segments (- N. BCB),89.93971731
2016,1,All Segments (- N. BCB),315.9619879
2016,2,All Segments (- N. BCB),202.1474873
2016,3,All Segments (- N. BCB),130.6884939
2016,4,All Segments (- N. BCB),112.5751392
2016,5,All Segments (- N. BCB),211.0953073
2016,6,All Segments (- N. BCB),634.5601604
2016,7,All Segments (- N. BCB),358.6536392
2016,8,All Segments (- N. BCB),1107.165911
2016,9,All Segments (- N. BCB),637.8161892
2016,10,All Segments (- N. BCB),336.1669526
2016,11,All Segments (- N. BCB),63.07649548
2016,12,All Segments (- N. BCB),57.86924854
2017,1,All Segments (- N. BCB),65.08467244
2017,2,All Segments (- N. BCB),70.50624471
2017,3,All Segments (- N. BCB),58.64911398
2017,4,All Segments (- N. BCB),57.27861617
2017,5,All Segments (- N. BCB),84.40725891
2017,6,All Segments (- N. BCB),312.9288465
2017,7,All Segments (- N. BCB),436.5672276
2017,8,All Segments (- N. BCB),904.7688462
2017,9,All Segments (- N. BCB),634.4649065
2017,10,All Segments (- N. BCB),210.4088482
2017,11,All Segments (- N. BCB),73.62982502
2017,12,All Segments (- N. BCB),66.40859162
2018,1,All Segments (- N. BCB),146.7066784
2018,2,All Segments (- N. BCB),117.7357906
2018,3,All Segments (- N. BCB),69.3289812
2018,4,All Segments (- N. BCB),92.01798431
