"modelseg","bay_segment","prop","year","month","var","period","val","date"
1,"Old Tampa Bay",0.766403773670725,2001,3,"TP","observed",5.75744963857548,2001-03-01
1,"Old Tampa Bay",0.766403773670725,2001,3,"TSS","observed",159.852723836796,2001-03-01
1,"Old Tampa Bay",0.766403773670725,2001,3,"HY","observed",39.2596084953806,2001-03-01
1,"Old Tampa Bay",0.766403773670725,2001,4,"TN","observed",9.17049571128534,2001-04-01
1,"Old Tampa Bay",0.766403773670725,2001,4,"TP","observed",4.33049157582578,2001-04-01
1,"Old Tampa Bay",0.766403773670725,2001,4,"TSS","observed",124.483585561563,2001-04-01
1,"Old Tampa Bay",0.766403773670725,2001,4,"HY","observed",7.97333055057932,2001-04-01
1,"Old Tampa Bay",0.766403773670725,2001,5,"TN","observed",4.68671673653925,2001-05-01
1,"Old Tampa Bay",0.766403773670725,2001,5,"TP","observed",2.97710146953761,2001-05-01
1,"Old Tampa Bay",0.766403773670725,2001,5,"TSS","observed",65.3054291079857,2001-05-01
1,"Old Tampa Bay",0.766403773670725,2001,5,"HY","observed",5.75463004332454,2001-05-01
1,"Old Tampa Bay",0.766403773670725,2001,6,"TN","observed",41.0795528290651,2001-06-01
1,"Old Tampa Bay",0.766403773670725,2001,6,"TP","observed",6.53130143078112,2001-06-01
1,"Old Tampa Bay",0.766403773670725,2001,6,"TSS","observed",122.325249852673,2001-06-01
1,"Old Tampa Bay",0.766403773670725,2001,6,"HY","observed",40.64159491375,2001-06-01
1,"Old Tampa Bay",0.766403773670725,2001,7,"TN","observed",50.1202377188351,2001-07-01
1,"Old Tampa Bay",0.766403773670725,2001,7,"TP","observed",11.1401114751512,2001-07-01
1,"Old Tampa Bay",0.766403773670725,2001,7,"TSS","observed",799.662736745235,2001-07-01
1,"Old Tampa Bay",0.766403773670725,2001,7,"HY","observed",69.1187561218756,2001-07-01
1,"Old Tampa Bay",0.766403773670725,2001,8,"TN","observed",40.4556711824766,2001-08-01
1,"Old Tampa Bay",0.766403773670725,2001,8,"TP","observed",8.51747837992488,2001-08-01
1,"Old Tampa Bay",0.766403773670725,2001,8,"TSS","observed",544.817266510757,2001-08-01
1,"Old Tampa Bay",0.766403773670725,2001,8,"HY","observed",39.4439743718154,2001-08-01
1,"Old Tampa Bay",0.766403773670725,2001,9,"TN","observed",97.7503396569277,2001-09-01
1,"Old Tampa Bay",0.766403773670725,2001,9,"TP","observed",19.325938523692,2001-09-01
1,"Old Tampa Bay",0.766403773670725,2001,9,"TSS","observed",2085.38401174609,2001-09-01
1,"Old Tampa Bay",0.766403773670725,2001,9,"HY","observed",120.293047169104,2001-09-01
1,"Old Tampa Bay",0.766403773670725,2001,10,"TN","observed",22.1769379202327,2001-10-01
1,"Old Tampa Bay",0.766403773670725,2001,10,"TP","observed",6.55345779792177,2001-10-01
1,"Old Tampa Bay",0.766403773670725,2001,10,"TSS","observed",340.43882484193,2001-10-01
1,"Old Tampa Bay",0.766403773670725,2001,10,"HY","observed",25.7721104101255,2001-10-01
1,"Old Tampa Bay",0.766403773670725,2001,11,"TN","observed",10.5875547422731,2001-11-01
1,"Old Tampa Bay",0.766403773670725,2001,11,"TP","observed",4.46579584215187,2001-11-01
1,"Old Tampa Bay",0.766403773670725,2001,11,"TSS","observed",179.893964441742,2001-11-01
